Program Name,State ,Fee,Stipend,Focus,Education,Eligibility,Application Deadline,,,
Undergraduate Research for Prospective Physician-Scientists and Physician-Engineers,IN,no,"$2,600.00","The Undergraduate Research for Prospective Physician-Scientists and Physician-Engineers Program, IU School of Medicine’s summer research program for future physician scientists, is designed for high-performing undergraduate students who are committed to pursuing an integrated clinical and research career and plan to pursue combined-degree training in an MD/PhD Program.",Undergraduate College Level, Applicants must be a citizen of the United States or a permanent resident of the United States ,"February 5, 2021",,,
SUCCESS Summer Undergraduate Course Creating Excellence in Scientific Study,OH,,Yes,"Offer three core programs – in biomedical sciences, neuroscience and biomedical engineering – and many affiliate PhD programs. Additionally, an MSTP Fellowship for pediatric research is available through a special partnership with Nationwide Children’s Hospital. Ohio State’s LSI3 curriculum blends our innovative medical school program with the curricula of partnering graduate programs to provide MSTP students with a comprehensive learning experience.",Medical School,Students who have completed their second year of medical school are eligible to apply to the MSTP as Advanced Training Applicant (ATAs). These students are evaluated as rigorously as new applicants (including the requirement for high-level research experience) and are accepted into the program only if their achievements are equivalent to the excellence of our other MSTP students.,"Open June 1, Close Nov 1",,,
Summer in Biological Sciences (SIBS) Undergraduate Research Program,AL,no,"SIBS participants will receive a stipend of $2,500 for their participation in the program",The Summer in Biomedical Science (SIBS) Undergraduate Research Program will provide the opportunity for young people to be instructed in the techniques of modern biology while becoming integrated members of a vibrant clinical and scientific community.  ,Undergraduate College Level ,summer program students must be U.S. citizens or permanent residents.,"February 12, 2021",,,
Preparation for Graduate and Medical Education (PARAdiGM) Program,AL,,"PARAdiGM students will receive a stipend of $3,200 for their participation in the program.",PARAdiGM is UAB's NIH/NHLBI R25 funded summer program for outstanding undergraduates from disadvantaged and underrepresented minority backgrounds who want to explore the potential of a future career as a physician-scientist - becoming a scientific investigator and a practicing physician.,Undergraduate College Level ,?,"February 12, 2021",,,
Summer Undergraduate Research Fellowship (SURF) Program,CA,no,Stipend for the eight-week period - $1600/month,A program designed for motivated undergraduate students who are interested in learning about a career as a Physician-Scientist (M.D./Ph.D.). ,Undergraduate College Level ,Students appointed to this program must be citizens or non-citizen nationals of the United States or must have been lawfully admitted for permanent residence ,"January 31, 2021",,,
Summer Undergraduate Research Fellowship (SURF),OH,no," students will receive $4,000","SURF students are matched with an appropriate faculty advisor, based on mutual research interest. The advisor and intern design a specific research project within the context of the research focus of the advisor's laboratory. ",Undergraduate College Level , Applicants must be a citizen of the United States or a permanent resident of the United States ,"February 1, 2021",,,
Summer Undergraduate MSTP Research (SUMR) Program,IA,no,"$4,150"," Our training mission is to foster the development of inquisitive, creative, and rigorous scientists who will be future leaders in the advancement of the science of medicine and its translation into clinical practice.  To do this, we have developed an integrated training program to ensure that MSTP students are engaged in activities that build knowledge and skills in both science and medicine in a nurturing academic environment.  These opportunities capitalize on the vibrant community of University of Iowa scholars.  For more information or application advising, please contact the MSTP leadership.",Undergraduate College Level ,"Citizen or permanent resident of the United States
Be a rising junior or senior (your earliest anticipated graduation should not be before December 2018)
Major in biological or physical science
Prior research experience required""","February 5, 2021",,,"Citizen or permanent resident of the United States
Be a rising junior or senior (your earliest anticipated graduation should not be before December 2018)
Major in biological or physical science
Prior research experience required"
MD/PhD Summer Undergraduate Research Program,NE,no,"$3,600.00","This is a great opportunity for students to discover first-hand the broad spectrum of research activities being performed at the University of Nebraska Medical Center. A wide variety of exciting research projects are available, from studies at the molecular level to patient oriented clinical research and healthcare outcomes research. Not only will students do research, but successful applicants will also have the opportunity to shadow physicians. This gives students a chance to experience great science as well as the doctor/patient relationship side of medicine. We can provide a summer of challenges and exceptional learning experiences.",Undergraduate College Level ,"Although we are especially interested in undergraduate students who are currently in their sophomore year of college, current freshman and juniors are also encouraged to apply. ","February 1, 2021",,,
Gateways to the Laboratory Summer Program,NY,no,"$6,000","In 1993, the Weill Cornell/Rockefeller/Sloan Kettering Tri-Institutional MD-PhD Program became the first MD-PhD Program in the country to establish a summer program for underrepresented minority and disadvantaged college students who wish to pursue the combined MD-PhD degree.",Undergraduate College Level ,"Must be a Pre-MD-PhD student.
Must be a college freshman or sophomore.
Must be a US citizen or permanent resident.
Must have a physical or mental impairment that substantially limits one or more major life activities or must be a member of an underrepresented minority group or otherwise disadvantaged group, as described by the National Institutes of Health. ","January 31, 2021",,,
Summer Undergraduate Research Program,NY,no,"$3,000",one-of-a-kind opportunity to conduct original research in a laboratory at one of the world's top-ranking scientific institutions. The program is designed for undergraduates with a strong background in science who are considering a research career.,Undergraduate College Level ,"Outstanding undergraduate students considering the SURP program must meet the following criteria:
A strong background in the sciences (biology, biochemistry, chemistry, physics, bioengineering or chemical engineering, etc.).
Completion of junior year in college. In rare instances, sophomores with strong science and/or research backgrounds may be considered. Freshmen and seniors (graduating in Spring/Summer 2020) will not be considered.
U.S. citizenship or permanent residency.","February 1, 2021",,,
Summer Student Training and Research (STAR),GA,no,"$4,500",This program provides opportunities for highly motivated and talented undergraduate students to develop skills as young scientists and to further explore their interest in biomedical research.,Undergraduate College Level ,"18 years or older by start of the STAR session
Completion of at least freshman year in college
Minimum overall GPA of 3.0
Minimum GPA of 3.0 in science courses
Currently enrolled in an undergraduate degree program*
Proof of current Health Insurance Coverage that extends throughout the duration of the Summer STAR Program
United States Citizenship (or hold permanent resident status) or international students currently enrolled in US college/university holding a student non-immigrant visa**
Proof of current social security number/card for employment purposes, with original card for documentation ",Check back in Jan 2021 for updates,,,
Summer Medical and Research Training Program (SMART),TX,no,"$5,000","The Summer Undergraduate Research Training (SMART) Program was developed to provide frontier-level, biomedical summer research projects for undergraduates in a supportive environment with supplemental educational activities.",Undergraduate College Level,All applicants must currently be attending a university in the United States and returning to the college/university to complete their undergraduate degree. Applicants must have a minimum GPA of 3.0,1/10/2021,,,
Summer Training as Research Scholars (STaRS),MA,no,"$4,800",STaRS is a dynamic and focused program that is designed to promote access to graduate education for traditionally underrepresented students in science and medicine. STaRS provides scholars with the opportunity to participate in research and enhances skills required for successful entrance and completion of a graduate program or an MD/PhD program in the biomedical sciences.,Undergraduate College Level,"Be a U.S. citizen or permanent resident.
Be a rising junior or rising senior at the start of Summer 2019 and currently enrolled in a degree program, part-time or full-time, leading to a Bachelor’s degree.
(*If you are graduating in 2019, please see below.)
Have a cumulative GPA of at least 3.0 on a 4.0 scale.
Have an interest in biological research
Have some prior research experience","February 1, 2020",,,
BioMed Summer Undergraduate research Fellowship (SURF),CT,no,"$4,500","BioMed SURF is a research-intensive summer training program in biomedical research for undergraduate students who plan to obtain a Ph.D. or M.D./Ph.D. in the biomedical sciences. We particularly encourage students who are members of groups underrepresented in the sciences, who are the first in their families to college, who are from inner city or rural communities, or who have grown up with financial or other disadvantage to apply.",Undergraduate College Level,"Are United States citizens or permanent residents who are members of an underrepresented minority in the sciences as defined by the National Institutes of Health (NIH); disadvantaged students will also be considered
Are freshman or sophomores in excellent academic standing at a college, university or junior college
Have completed at least one semester of college-level biology, chemistry or physics at the time of application",Updates coming in December,,,
Harvard Summer Research Program in Kidney Medicine,MA,no,"$1,000","The Harvard Summer Research Program in Kidney Medicine (HSRPKM) offers a robust and varied introduction to the world of nephrology for the undergraduate college student who is considering a career in science or medicine. The Program is primarily a research-based experience but includes a core curriculum that addresses the basic science and clinical fundamentals and challenges in the field. The Program spans the nephrology divisions of four Harvard-affiliated hospitals – Brigham and Women’s Hospital (BWH), Beth Israel Deaconess Medical Center (BIDMC), Boston’s Children’s Hospital (BCH) and Massachusetts General Hospital (MGH). The Program runs for approximately 8 weeks each summer.

",Undergraduate College Level,"GPA 3.4 or higher Currently enrolled in undergraduate degree seeking program Must be a US citizen or Permanent Resident (Green Card holder) Must be committed to entire 8+ week program (approximately June 1- August 1) Research experience preferred, but not required NOTE: Each finalist will have a brief phone interview.




",Application for 2021 not yet open,,,
Summer Undergraduate Research in Pharmacology,OH,no,"$3,000","For more than 35 years, the Department of Pharmacology has sponsored a summer research program designed to introduce college undergraduates to basic laboratory research. This 10-week program has been partially sponsored by American Society for Pharmacology and Experimental Therapeutics (ASPET, https://www.aspet.org/awards/surf/). Students  (5-7 total) are recruited from a national applicant pool (~400 individuals per year), with some emphasis on the numerous, small, and high-quality academically oriented undergraduate institutions in United States. The program supplies a stipend and contributes additional funds to defray housing and travel expenses. Overall goal of the program is to provide students with background and skills essential for a career in pharmacological or basic science research. In addition, our program aims to establish an understanding of the commitment essential to successfully pursue a career in biomedical science.

",Undergraduate College Level,Successful applicants should have strong academic records and have completed at least one laboratory course prior to application. Previous experience performing independent laboratory research is not required. Those students entering their junior or senior year are given preference.,"January 31, 2021",,,
Undergraduate Summer Student Program,OH,no,"$4,000","The Summer Undergraduate Research Fellowship (SURF) Program at Cincinnati Children’s Hospital Medical Center offers undergraduates the chance to explore clinical, translational, and basic science research in laboratories in the Department of Pediatrics, University of Cincinnati College of Medicine. The primary goal is to provide students with a foundation for making career choices in the biomedical sciences. Students have the opportunity to work with one of more than 700 faculty members at Cincinnati Children’s Hospital Medical Center, many of whom have active research programs that cover all areas of pediatric medicine, including the study of developmental biology, congenital disorders, genetic diseases, cancer, cardiology, neurology and immunology.

",Undergraduate College Level,"Students who will be undergraduate freshman, sophomores, juniors or seniors in the Fall of 2019 (with a 3.0 or better GPA) are eligible to apply to the SURF Program. Applicants must be US citizens or permanent residents and have an interest in a career in biomedical research or medicine. Criteria for selection include academic record, answers to essay questions and interest in obtaining research experience.","February 1, 2021",,,
Travelers Summer Research Fellowship Program,NY,no,$140.00 a week,"The Travelers Summer Research Fellowship Program is designed to give 25 premedical students deeper insights into the field of medicine, including issues that greatly affect the health of traditionally underserved groups. Through the experiences of laboratory or clinical research, the student learns how one pursues a specific research problem under the supervision of a faculty member, thus providing an early education into basic research techniques that could be applicable to any area of medicine. A lecture series explores topics in cardiovascular physiology, exposing the students to basic science concepts that are relevant to a more specific understanding of hypertension and cardiovascular disease, both of which are major problems in minority communities. ",Undergraduate College Level,"must be at least in their junior year of college
must be declared premed students who have completed two semesters of biology, general chemistry, organic chemistry, and one semester of physics. Preference is given to students with a grade point average of B or above
must have a demonstrated commitment to working on issues with underserved populations within the USA
must be from one or more of the following groups that are underrepresented in medicine
Individuals from racial and ethnic groups shown to be underrepresented in biomedical research: Blacks or African Americans, Hispanics or Latinos, American Indians or Alaska Natives, Native Hawaiians and other Pacific Islanders
Individuals from socioeconomically disadvantaged backgrounds
Individuals with disabilities (those with a physical or mental impairment that substantially limits one or more major life activities)
must be a U.S. Citizen or permanent resident ","February 1, 2021",,,
Eugene and Ruth Roberts Summer Student Academy,CA,no,"$4,000","Summer Academy students design and work on their own research projects in areas of their specific interests. City of Hope faculty members act as mentors providing valuable guidance and support, while also encouraging independent thought and exploration. Summer students work closely with post-doctorates, graduate students, and lab personnel of the Irell & Manella Graduate School of Biological Sciences. 
 
Participants also communicate their research findings to their peers and instructors in a weekly student seminar series. We also mentor scientific writing by having students produce a written report at the end of their project. An important objective of the program is to develop vital oral and written communication skills, which are so important in the world of seminars, colloquia, manuscript publication and grant writing, a world that is central to graduate student and postgraduate life.
 ",Undergraduate College Level,"Applicants must be at least 16 years old before their internship begins
Applicants must be high school or undergraduate students
Applicants must be US citizens or permanent residents
Applicants must complete the online application by March 8, 2019
Most students submit additional materials, such as transcripts, letters of recommendation, and resumes, but these are not required",Application not open yet,,,
Summer Research Opportunities Program,IL,no,$3000-$6000,The Summer Research Opportunities Program (SROP) is a gateway to graduate education at Big Ten Academic Alliance universities. The goal of the program is to increase the number of underrepresented students who pursue graduate study and research careers. SROP helps prepare undergraduates for graduate study through intensive research experiences with faculty mentors and enrichment activities.,Undergraduate College Level,"Have a cumulative GPA of 3.0 or higher (4.0 scale) Be a citizen or a permanent resident of the U.S. Be enrolled in a degree-granting program at a college or university in the United States, Puerto Rico, or other U.S. territory. Have completed at least two semesters of undergraduate education by the time of the summer experience. Have at least one semester of undergraduate education remaining after completing the summer research experience. Have a strong interest in pursuing a Ph.D.","February 10, 2021",,,
Gateways To The Laboratory Summer Program,NY,no,"$6,000","Until 1993, none of the summer programs run by medical colleges or graduate schools had the specific aim of training students to become successful MD-PhD applicants and students.

In 1993, the Tri-Institutional MD-PhD Program of Weill Cornell/Rockefeller/Sloan Kettering became the first MD-PhD Program in the country to establish a summer program for underrepresented minority and disadvantaged college students who wish to pursue the combined degree.

To this day, the Tri-Institutional Gateways to the Laboratory Program is the only such program exclusively for freshmen and sophomores. Every year, 15 students embark on a 10-week intensive journey of learning about the challenging and rewarding road of becoming a physician-scientist.",Undergraduate College Level,"Be currently enrolled full-time in an accredited public or private college or university in the United States or its territories, as recognized by the U.S. Department of Education. 
Be in good academic standing with a GPA of 3.0 or better.
Demonstrate a committed interest to pursue graduate study toward a PhD or MD-PhD.
Have completed at least two semesters and have at least one semester remaining of their undergraduate education by the start of the summer program.
Be a documented U.S. citizen or non-citizen national, or permanent resident in possession of an alien registration receipt card (I-551) or other legal document of such status at the time of application. International citizens studying in the United States with an F-1 Visa are not eligible for the SR-EIP. Individuals seeking asylum or refugees are not eligible.","January 31, 2021",,,
Undergraduate Biomedical Research Training Program,NE,no,"$1,750","The HS-MACA/CPHHE Undergraduate Biomedical Research Program enhances college science education and increases the number of underrepresented minority students who are interested and qualified to pursue careers in the biomedical sciences through conducting kinesthetic laboratory research in various biomedical fields.  Students are paired with Creighton University faculty and researchers to conduct ongoing research under the supervision of a faculty mentor.

",Undergraduate College Level,"A student must have a 3.0 or better grade average
Sophomore, Junior, Senior college academic standing at time of application
 Copy of college academic transcripts (unofficial or official)
Two Letters of Recommendation
Living arrangement within the Omaha area for program duration - no accommodations are provided.",Application dates for 2021 TBA,,,
Biomedical Graduate Studies-Summer Undergraduate Research Fellowship,PA,no,"$3,000","The Graduate School of Biomedical Sciences and Professional Studies offers challenging summer programs for qualified undergraduates: Cross-disciplinary, Innovation-driven, Renowned faculty, Close mentoring. The Graduate School of Biomedical Sciences and Professional Studies awards 10-week Summer Undergraduate Research Fellowships (SURF) to undergraduate students wishing to explore biomedical research careers. Enhance your analytical and technical scientific research skills while working with and receiving mentoring from College of Medicine faculty in various disciplines: Biochemistry, Molecular and cell biology and genetics, Neuroscience, Microbiology and immunology, Pharmacology and physiology",Undergraduate College Level,"Applicants must have an interest in pursuing biomedical research (i.e., PhD or MD/PhD) in graduate school and must be in good standing at their respective undergraduate institutions.
Sophomores and juniors (as of spring 2018) are given priority, although freshmen may apply.
Seniors expected to graduate in 2018 are not eligible.
Selection will be based on the student's academic undergraduate record, research experience, letters of recommendation, and statements of research interests and career goals.",Application dates for 2021 TBA,,,
B&B Summer Scholars Program,GA,no,approximately ~$1250 over 12 weeks,The B&B Summer Scholars Program provides summer fellowships to selected GSU undergraduates to support their research efforts in faculty laboratories. Call for B&B Scholars goes out to the B&B List Serv April of every year. The Scholars program is happy to announce its partnership with the Initiative for Maximizing Student Development (IMSD) for professional development and poster sessions.,Undergraduate College Level,"Have a 3.0 GPA or better.
Be current GSU undergraduates in good standing.
Can not be graduating before the program begins.
Be already engaged in research with a B&B faculty member.
Have a B&B faculty nomination.
B&B Scholars will engage in weekly professional development workshops.",Application dates for 2021 TBA,,,
Summer Undergraduate Research Program,NY,no,"$6,000","Our ten-week Summer Undergraduate Research Program (SURP), which begins on the first Monday in June, is designed for approximately 20 outstanding undergraduate freshmen, sophomores, and juniors interested in pursuing a career in biomedically related sciences. Applicants must have research experience.

Students in the program have the opportunity to:

obtain hands-on research experience in cutting-edge laboratories
interact with faculty, postdoctoral fellows, and graduate students
attend a weekly luncheon/seminar series of presentations by faculty
attend skills development workshops to hone presentation and interview skills
attend and present at works-in-progress sessions with the cohort of SURP students",Undergraduate College Level,"Applicants should have a minimum GPA of 3.0, have completed college-level general biology and/or introductory chemistry, have taken some advanced science courses, and have research experience.

In addition to the application form and admissions essay, students should submit an official transcript from their college","February 1, 2021",,,
"Summer Honors Undergraduate Research Program (SHURP)

",MA,no,$450/week for 10 weeks,"SHURP is a ten-week summer research program primarily for college students belonging to groups that are under-represented in the sciences. SHURP presently has 475 alumni from colleges across the country, and over 90% are continuing or planning to continue training and careers in the sciences. SHURP is one of the summer research programs participating in the Summer Research Early Identification Program of the Leadership Alliance, a consortium of 35 colleges and universities dedicated to improving the participation of historically underrepresented students in graduate programs.",Undergraduate College Level,"To be eligible for SHURP, applicants must be currently-enrolled undergraduates who:

will not have completed their BA/BS degree by June 2018,
are considering careers in biological or biomedical research sciences,
have already had at least one summer (or equivalent term-time) of experience in a research laboratory,
have taken at least one upper-level biology course that includes molecular biology, and
are U.S. citizens or permanent residents (due to requirements of our federal funding).",2/1/2020. Application dates for 2021 TBA,,,
Feinstein Institute for Medical Research Student Intern Program ,NY,no,,"The Feinstein Institute Summer Student Intern program is a competitive mentored program designed to provide high school, college and graduate students with hands-on experience in disease-oriented research and familiarize them with opportunities that exist for careers in medical research. At the end of the internship, students will be expected to present an academic poster summarizing their research to faculty and other students. This program requires a full 8-week commitment. Students need to be at least 16 years of age before July 1st, 2018.

",Undergraduate College Level,"This program requires a full 8-week commitment. Students need to be at least 16 years of age before July 1st, 2018 in order to apply. Students need to be at least 18 years of age before July 1st, 2018 in order to work in the Center for Comparative Physiology. Daily transportation and on-campus housing is not available. All students must have their own transportation and housing arrangements. If selected to participate in the program, students must complete the following: • Visiting Scholar Agreement • Medical Clearance from Northwell Employee Health Services • Background Investigation • Confidentiality Agreement",2021 Application will become available December 2020,,,
Summer Internship Program (SIP),MD,no,"$3,000","The Summer Internship Program (SIP) provides experience in research laboratories to students of diverse backgrounds, including underrepresented minority students, students from economically disadvantaged and underserved backgrounds and students with disabilities that have completed one - two or more years of college. The purpose of this exposure to biomedical and/or public health research is to encourage students to consider careers in science, medicine and public health. The program runs ten weeks and a minimum stipend of $3,000 is provided. Housing is provided near our undergraduate campus; the University has a shuttle service that provides convenient transportation between the Johns Hopkins Medicine Institutions (JHMI) and the undergraduate campus.",Undergraduate College Level,"Students must have completed one year of college (i.e., freshman) and be a U.S. citizen or Permanent Resident to apply to the Institute of NanoBioTechnology, Pulmonary Medicine or Summer Institute for Genomics and Society divisions; students must have completed two years of college (i.e., sophomore) and be either a U.S. citizen, Permanent Resident or international student currently studying in the U.S. to apply to the Basic Science Institute division; students much have completed two years of college (i.e., sophomore) and be a U.S. citizen to apply to the Bloomberg School of Public Health, Institute for Cell Engineering (FARMS), Institute for Computational Medicine and the Rosetta Commons Research Experience for Undergraduates divisions of the program. Basic Science Institute students must have a demonstrated interest and potential to pursue a PhD degree.","February 1, 2021",,,
Summer Undergraduate Research Experience (SURE) Program,CA,no,$500,"The SURE program for undergraduate research in biotechnology and bioengineering at Keck Graduate Institute (KGI) provides undergraduate students the opportunity for cutting-edge, interdisciplinary research in the areas of applied molecular and cellular biology, bioengineering, computational biology, as well as exposure to related ethics and business topics.

The program is appropriate for motivated undergraduate students majoring in biology, chemistry, engineering, or related disciplines. One of the program goals is to promote the success of women and underrepresented minorities in science and engineering.",Undergraduate College Level,An online application form is required that contains questions about your personal and educational background. Additional requirements (below) can be submitted along with your online application or separately:,"March 1, 2021",,,
Summer Undergraduate Pharmacology Experience in Research Program (SUPER),LA,no,,"The SUPER Program is funded by the ASPET/SURF, LSU Health Sciences Foundation and the Department of Pharmacology, Toxicology and Neuroscience.  The Department of Pharmacology, Toxicology and Neuroscience offers an eight- week summer research program for domestic undergraduate students who are interested in pursuing a career in pharmacology. Students participate in laboratory research experiments and attend weekly lectures on topics that will help prepare them for success in research-intensive doctoral programs.",Undergraduate College Level,"Students must submit an application, unofficial college transcript, and a brief statement of why you would like to participate in this internship program. Students must also ensure that one letter of recommendation is submitted. All letters of recommendation must be either emailed or mailed directly from the author. An applicant must be a United States citizen or Permanent Resident. Please email all application materials to Ty Martinez at tmoren@lsuhsc.edu.","January 31, 2021",,,
"Summer Undergraduate Research program, Department of Molecular Pharmacology and Therapeutics ",IL,no,"$5,200","Our program offers 10 weeks (~40 hrs/week) of intensive practical laboratory research experience in pharmacology with faculty members of the Department of Molecular Pharmacology & Therapeutics. Awardees will attend selected seminars by guest speakers, weekly discussions on basic concepts in pharmacology and professional development for the research scientists led by our faculty. Students will attend the Great Lakes Chapter meeting of the American Society of Pharmacology and Experimental Therapeutics. They will also attend a career panel and have an opportunity to tour a pharmaceutical facility. At the end of the fellowship each student will provide an oral presentation of their work to the Department. Summer research fellows will have an opportunity to compete for travel funds to attend the 2019 meeting of the American Society of Pharmacology and Experimental Therapeutics in Orlando Florida. Our research fellowship is designed to provide an opportunity for students to gain valuable biomedical research experience in pharmacology, particularly when research opportunities in their own college or university are limited.",Undergraduate College Level,US citizen or permanent resident who will be enrolled as a Junior or Senior in a baccalaureate program or equivalent in the Fall 2019 term.,Application dates for 2021 TBA,,,
Summer Student Research Program at main Medical Center Research Institute,ME,no,"$4,600","During the summer months Maine Medical Center Research Institute provides undergraduates with an opportunity to receive an educational experience in biomedical science through the MMCRI Summer Student Research Program. MMCRI also reserves several spots in the program for MMC Tufts Maine Track students. Learn more about the medical student portion of the program.

Research at MMCRI covers a broad area in biomedical science including vascular biology, stem cell biology, developmental biology, neurobiology, hematology, nephrology, tumor biology, and molecular genetics as well as outcomes research, vector-borne diseases, and clinical research.",Undergraduate College Level,"In order to be eligible for participation in the MMCRI Summer Student Research Program you must meet the following eligibility requirements:

Applicants must be 18 years old by June 4, 2018
Applicants must have a 3.0 GPA or above
Applicants must be enrolled as a full-time student in an undergraduate college program or community college program, or be a high school senior moving to a full-time undergraduate college program starting in the fall of 2018. College seniors who will have graduated by the time the Summer Student Research Program starts in June 2018 are not eligible for the program.
All Summer Student Research Program participants become employees of Maine Medical Center, so you must be eligible to be employed in the US in order to participate in this program.
You must also be available to come to MMC for required pre-employment health screening over the course of a 48 hour period prior to the start of the program.",2021 Application Dates TBA,,,
MGH Summer Research Trainee Program (SRTP),MA,no,"$5,000","Each summer, twenty students are selected from a nationwide competition to join SRTP. Each student is assigned to a specific MGH laboratory, clinical site, health policy, or health services research area where they undertake an original research project under the mentorship and guidance of a Mass General Hospital (MGH) investigator. Assignments are carefully considered and are made with the student's research and career interests in mind. In addition to this unique research experience, students will gain knowledge through weekly seminars at MGH, attend career development workshops and networking events, and have opportunities for clinical shadowing.",Undergraduate College Level,"SRTP seeks students who are interested in pursuing a career in academic medicine or biomedical research and meet the following criteria:

Member of a group that is underrepresented in medicine (URM)*
Undergraduate junior or senior, rising 1st year medical student, or 1st year medical student, graduate school student, or post-baccalaureate student (note: freshman and sophomores not eligible)
Attended/attending a college or medical school in the US and Puerto Rico
US citizens or permanent residents
If accepted, proof of health insurance required
",2021 Application Dates TBA,,,
Summer Undergraduate Research Fellowship,MN,no,"$6,000","The Summer Undergraduate Research Fellowship (SURF), sponsored by Mayo Clinic Graduate School of Biomedical Sciences, offers a great way to build your skills as a young scientist or test your inclinations toward research.

Our SURF fellows tell us about the lasting friendships they made during the program and how the experience helped them with their career decision-making process. And because the questions they are studying are at the forefront of modern science, many students earn acknowledgment or co-authorship in articles submitted to professional publications.
",Undergraduate College Level,"You can apply for the Summer Undergraduate Research Fellowship (SURF) if you:

Have completed two or three years at a U.S. college or university at the time the SURF program begins
Have a grade point average of at least 3.0 (4.0 scale)
Are seriously considering a biomedical research career as a Ph.D. or M.D.-Ph.D.",Application opens September 2020,,,
