Competition,,,,,,,,,,,,,,,,,
Name,Organization,url,fee,Application deadline,Eligibility,,,,,,,,Requirement ,,,,Area of interest 
American Foreign Service National High School Contest,american foreign service association,https://www.afsa.org/essay-contest,0,2021-04-05 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
National Economics Challenge,council for economic education,https://www.councilforeconed.org/national-economics-challenge/register-2/,0,2021-04-08 0:00:00,,,,,,,,,,,,,
Student Electronic Music Composition Competition,national association for music education,https://nafme.org/programs/contests-calls-competitions/nafme-electronic-music-composition-contest/,40,2021-04-09 0:00:00,,12,,,,,,grades K-12th,,,,,
National Spanish Exam,The American Association of Teachers of Spanish and Portuguese,https://www.nationalspanishexam.org,4,2021-04-10 0:00:00,6,12,,,,,,grades 6th -12th,,,,,
Academic Decathlon,United States Academic Decathlon,www.usad.org,275,2021-04-12 0:00:00,,,,,,,3.75,3.75 GPA,,,,,
High School Public Debate Program,NATIONAL AND INTERNATIONAL SCHOOLS DEBATE OUTREACH INITIATIVE,https://highschooldebate.org/2021/03/07/tournament-topics-online-2020-high-school-championship-saturday-april-17/,25,2021-04-12 0:00:00,,,,,,,,,,,,,
Envirothon,Gloria Barron Prize for Young Heroes,https://barronprize.org/apply/,,2021-04-15 0:00:00,,,8,18,,,,ages 8-18,,,,,
National High School Mock Trial,national high school mock trial championship,https://www.nationalmocktrial.org,500,2021-04-15 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
We the Students Essay Contest,bill rights institute,https://billofrightsinstitute.org/we-the-students-essay-contest,0,2021-04-15 0:00:00,8,12,14,19,,,,grades 8th-12th; ages 14-19,,,,,
National Greek Exam,the american classical league,https://www.aclclassics.org/Exams/National-Greek-Exam,4,2021-04-16 0:00:00,,,,,,,,,,,,,
Clean Tech Competition,Center for Science Teaching & Learning (CSTL),www.cstl.org,0,2021-04-23 0:00:00,,,15,18,,,,ages 15-18,,,,,
Mit Inspire (Arts; Humanities; & Social Sciences),Institute of Competition Sciences,www.competitionsciences.org,,2021-04-23 0:00:00,,,,19,,,,ages under 19,,,,,
Discovery Education 3m Young Scientist Challenge,,https://www.youngscientistlab.com/challenge,0,2021-04-27 0:00:00,5,8,,,US,,,grades 5th-8th; U.S. residents,,,,,
Essay Contest,Ayn Rand Institue,www.aynrand.org,0,2021-04-29 0:00:00,8,12,,,,,,grades 8th-12th,,,,,
Igem,International Genetically Engineered Machine (iGEM) Foundation,igem.org,5500,2021-04-30 0:00:00,,,,,,,,,,,,,
President's Environmental Youth Awards,United States Environmental Protection Agency,United States Environmental Protection Agency,0,2021-04-30 0:00:00,,12,,,US,,,grades k-12th; U.S. citizenship,,,,,
Solar Car Challenge,solar car challenge,https://www.solarcarchallenge.org/challenge/updates/20210108.shtml,,2021-04-30 0:00:00,,,,,,,,,,,,,
The Claudia Ann Seaman Award for Young Writers,Polyphony Lit,https://www.polyphonylit.org/claudia-ann-seaman-awards,0,2021-04-30 0:00:00,,,,,,,,,,,,,
Future Business Leaders of America - Various Event Topics,Future Business Leaders of America-Phi Beta Lambda; Inc.,https://www.fbla-pbl.org/fbla/competitive-events//,20,2021-05-07 0:00:00,,,,,,,,members only,,,,,
Technology Student Association High School Competition,technology student association,https://tsaweb.org/competitions-programs/tsa/virtual-competitions-faq,70,2021-05-13 0:00:00,6,12,,,,,,grades 6th-12th,,,,,
International Genetically Engineered Machine Competition,iGEM foundation,https://2021.igem.org/Main_Page,5500,2021-05-28 0:00:00,,,,,,,,,,,,,
World Water Week,Stockholm International Water Institute,https://www.worldwaterweek.org/engage/apply-to-engage,0,2021-05-31 0:00:00,,,15,20,,,,ages 15-20,,,,,
Botball Educational Robotics Program,KISS Institute for Practical Robotics,https://www.kipr.org/botball,2500,2021-06-01 0:00:00,4,12,,,,,,grades 4th-12th,,,,,
Broadcom Masters,society for science,https://www.societyforscience.org/broadcom-masters/for-nominees/,75,2021-06-09 0:00:00,6,8,,,,,,grades 6th-8th,,,,,
Ocean Awareness Student Contest,Bow Seat Ocean Awareness Programs,https://bowseat.org/programs/ocean-awareness-contest/overview/,0,2021-06-14 0:00:00,,,11,18,,,,ages 11-18,,,,,
Goi Peace Foundation International Essay Contest for Young People,The Goi Peace Foundation,https://www.goipeace.or.jp/en/work/essay-contest/,0,2021-06-15 0:00:00,,,14,25,,,,ages 14-25,,,,,
National Scholastic Press Association Competitions,National Scholastic Press Association,http://studentpress.org/nspa/awards-2/,0,2021-06-25 0:00:00,,,,,,,,,,,,,
Donna Reed Foundation Performing Arts Scholarships,dona reed foundnation,https://www.donnareed.org/performing-arts-scholarships,0,2021-07-30 0:00:00,,,,,,,,,,,,,
Conrad Spirit of Innovation Challenge,Conrad Foundation,www.conradchallenge.org,499,2021-08-01 0:00:00,,,13,18,,,,ages 13-18,,,,,
American Mathematics Competitions (AMC),Mathematical Association of America,www.maa.org,75,2021-08-15 0:00:00,,,,,,,,,,,,,
Music Teachers National Association Competitions,music teachers national association,https://www.mtna.org/MTNA/Engage/Competitions/Competitions_Guidelines.aspx,110,2021-09-01 0:00:00,,,15,18,,,,ages 15-18,,,,,
Youngarts Program,national youngarts foundation,https://www.youngarts.org/apply,35,2021-09-15 0:00:00,10,12,15,18,US,,,grades 10th-12th; ages 15-18; U.S.  citizens; permanent residents; or green card holders,,,,,
USA Mathematical Talent Search,Art of Problem Solving Initiative,https://www.usamts.org,0,2021-09-19 0:00:00,,,,,,,,U.S. residents,,,,,
National Youth Cyber Defense Competition,CyberPatriot,www.uscyberpatriot.org,,2021-10-05 0:00:00,,,,,,,,,,,,,
Goethe-institute International German Olympics,Goethe-Institut,www.goethe.de,,2021-10-15 0:00:00,,,14,17,,,,ages 14-17,,,,,
Congressional App Challenge,S. House of Representatives,www.congressionalappchallenge.us,,2021-10-19 0:00:00,,,,,,,,,,,,,
Sourceamerica Design Challenge,source america,https://www.sourceamerica.org/get-involved/design-challenge,0,2021-10-20 0:00:00,,,,,,,,,,,,,
VFW Voice of Democracy Contest,veterans of foreign wars,https://www.vfw.org/community/youth-and-education/youth-scholarships,0,2021-10-31 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
Action for Nature International Young Eco-hero Awards,action for nature,https://actionfornature.org/eco-hero-awards,,2021-11-01 0:00:00,,,8,16,,,,ages 8-16,,,,,
Regeneron Science Talent Search,society for science,https://www.societyforscience.org/regeneron-sts/,0,2021-11-01 0:00:00,12,12,13,,,,,"grade 12th; ages 13 or older; 
U.S. citizens or who attends U.S. school",,,,,
Junior Science and Humanities Symposia,National Science Teachers Association,https://www.jshs.org/national-symposium/,0,2021-11-01 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
Reflections Program,national PTA,https://www.pta.org/home/programs/reflections?gclid=Cj0KCQjwl9GCBhDvARIsAFunhsk2zyemcgaOdg6fudDkyw46eV2F1VbdcY8Xs5qo555ABtCu-hwsMMUaAnOiEALw_wcB,0,2021-11-01 0:00:00,,12,,,,,,grades k-12th,,,,,
Nasa Human Exploration Rover Challenge,,https://www.nasa.gov/stem/roverchallenge/home/index.html,0,2021-11-05 0:00:00,,,,,,,,,,,,,
Prudential Spirit of Community Awards (Volunteering Awards),prudential,https://spirit.prudential.com,0,2021-11-10 0:00:00,5,12,,,,,,grades 5th-12th; have engaged in a volunteer activity during the 12 months prior to the date of the application,,,,,
Modeling the Future,Actuarial Foundation,www.mtfchallenge.org,,2021-11-16 0:00:00,11,12,,,,,,grades 11th-12th,,,,,
Rachel Carson Sense of Wonder Contest,Rachel Carson Landmark Alliance,http://rachelcarsonlandmarkalliance.org/events-outreach/rachel-carson-intergenerational-sense-of-wonder-sense-of-the-wild-contest-2021/,0,2021-11-16 0:00:00,,,,,,,,,,,,,
The Patricia Grodd Poetry Prize for Young Writers,KENYON COLLEGE,https://kenyonreview.org/contests/patricia-grodd/,0,2021-11-30 0:00:00,10,11,,,,,,grades 10th-11th,,,,,
Destination Imagination,Destination Imagination,www.destinationimagination.org,150,2021-12-01 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
Team America Rocketry Challenge,the american rocketry challenge,https://rocketcontest.org,0,2021-12-01 0:00:00,,,,,,,,,,,,,
Usa Biology Olympiad,CEE,https://www.usabo-trc.org,95,2021-12-01 0:00:00,,,,,,,,,,,,,
River of Words Art and Poetry Contest,saint mary's college,https://www.stmarys-ca.edu/center-for-environmental-literacy/river-of-words,0,2021-12-01 0:00:00,,,5,19,,,,ages 5-19,,,,,
Scholastic Art and Writing Awards,Alliance for Young Artists & Writers,https://www.artandwriting.org,0,2021-12-01 0:00:00,7,12,13,,,,,grades 7th-12th; ages 13 or older,,,,,
U.s. Senate Youth Program,United States Senate,https://ussenateyouth.org,0,2021-12-01 0:00:00,,,,,US,,,U.S. residents; Students who hold a leadership position currently,,,,,
Congressional Essay Contest,THE NATIONAL SOCIETY OF THE COLONIAL DAMES OF AMERICA,https://nscda.org/student-resources/congressional-essay-contest/,0,2021-12-01 0:00:00,10,12,,,,,,grades 10th-12th,,,,,
Wildlife Photographer of the Year Competition,national history museum,https://www.nhm.ac.uk/wpy/competition/young-wpy,0,2021-12-10 0:00:00,,,,17,,,,ages under 17,,,,,
Harvard Model Congress,Harvard university,https://www.harvardmodelcongress.orgg,55,2021-12-25 0:00:00,,,,,,,,,,,,,
Scholastic Art & Writing Awards,Alliance for Young Artists & Writers,www.artandwriting.org,32,2022-01-01 0:00:00,7,12,,,,,,grades 7th-12th,,,,,
Conrad Challenge,conrad foundation,https://www.conradchallenge.org/conrad-challenge,149,2022-01-01 0:00:00,,,13,18,,,,13-18 years old; with a coach older than 18,,,,,
Chemistry Olympiad,ACS,https://www.acs.org/content/acs/en/education/students/highschool/olympiad.html,0,2022-01-01 0:00:00,,,,20,US,,,ages under 20; U.S. citizens or legal; permanent residents,,,,,
North American Computational Linguistics Olympiad,North American Computational Linguistics Open Competition,https://www.nacloweb.org,0,2022-01-01 0:00:00,9,12,,,,,,high school students,,,,,
Generation Nano: Superheroes Inspired by Science,national science foundation,https://www.nsf.gov/news/special_reports/gennano/,0,2022-01-10 0:00:00,6,12,,,US,,,"grades 6th-12th
U.S. citizens or permanent residents",,,,,
National Japan Bowl,Japan-America Society of Washington; Inc.,https://japanbowl.org,65,2022-01-10 0:00:00,,,,,,,,currently enrolled in Japanese language classes in high school,,,,,
Princeton Mathematics Competition,princeton university,https://pumac.princeton.edu/#index,3,2022-01-29 0:00:00,,,,20,,,,ages under 20; not have been enrolled full-time in a post-secondary institution,,,,,
National German Exam,american association of teachers of German,https://www.aatg.org/page/NGE,6,2022-01-30 0:00:00,,,,,,,,,,,,,
National Young Astronomer Award,,https://www.astroleague.org/al/awards/nyaa/noya2009.html,0,2022-01-31 0:00:00,,,14,19,US,,,ages 14-19; United States citizens,,,,,
Young Authors Writing Competition,columbia college chicago,https://blogs.colum.edu/youngauthors/,0,2022-01-31 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
ASCAP Foundation Morton Gould Young Composer Awards,The ASCAP foundation,https://www.ascapfoundation.org/ascapfoundation/programs/awards/young-composer-awards,0,2022-02-01 0:00:00,,,13,29,US,,,ages 13-29; U.S. citizen; permanent resident or enrolled student with a valid and current U.S. student visa (each; an “Entrant”),,,,,
Engineer Girl Essay Contest,national academy of engineering,https://www.engineergirl.org/128750/EngineerGirl-Writing-Contest,0,2022-02-01 0:00:00,3,12,,,,,,grade 3th-12th,,,,,
BMI Student Composer Awards,BMI foundation,https://bmifoundation.org/programs/info/bmi_student_composer_awards,0,2022-02-05 0:00:00,,,,27,,,,ages under 27,,,,,
Quill and Scroll Society International Photo Contest,quill and scroll,https://quillandscroll.org/writing-photo-multimedia-contest/#top,5,2022-02-05 0:00:00,,,,,,,,,,,,,
Toshiba Exploravision Awrads,toshiba,https://www.exploravision.org,0,2022-02-08 0:00:00,,,,21,US & Canada,,,"ages under 21; United States or Canadian citizens and living within the United States; U.S. Territories or
Canada
Enrolled full-time in a public; private or home school",,,,,
Space Settlement Design Contest,National space society,https://space.nss.org/settlement/nasa/Contest/,15,2022-02-15 0:00:00,1,12,,,,,,"7th grade and younger: individual; small group; large group;
8th grade: individual; small group; large group;
9th grade: individual; small group; large group;
10th grade: individual; small group; large group;
11th grade: individual; small group; large group;
12th grade: individual; small group; large group.",,,,,
Odyssey of the Mind,a Creative Competitions Inc. program,https://www.odysseyofthemind.com,100,2022-02-15 0:00:00,,,,,,,,grades 1- 12,,,,,
Thespian Playworks,international thespian playworks,https://www.schooltheatre.org/itf/activities-and-events/next-generation-works/playworks,0,2022-02-15 0:00:00,,,,,,,,members of the International Thespian Society,,,,,
National Italian Exam,american association of teachers of Italian,https://www.nationalitalianexam.org,8,2022-02-15 0:00:00,,,,,,,,,,,,,
Profile in Courage Essay Contest,"John F. Kennedy Presidential Library and Museum
JOHN F. KENNEDY
PRESIDENTIAL LIBRARY
AND MUSEUM",https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest/getting-started,0,2022-02-15 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
American String Teachers Association National High School Honors Orchesetra,WorldStrides,https://worldstrides.com/itineraries/american-high-school-theatre-festival/,0,2022-03-01 0:00:00,6,12,,,,,,middle and high school student,,,,,
Manningham Student Poetry Awards,NATIONAL FEDERATION OF STATE POETRY SOCIETIES,https://www.nfsps.com/manningham.html,0,2022-03-01 0:00:00,6,12,,,,,,grade 6th-12th,,,,,
National Robotics Challenge,The National Robotics Challenge,www.thenrc.org,,2022-03-05 0:00:00,9,12,,,,,,Grades 9tn-12th,,,,,
Davidson Fellows,Davidson Institute for Talent Developmen,www.davidsongifted.org,,2022-03-10 0:00:00,,,,18,,,,18 and under,,,,,
VSA Playwright Discovery Competition,the kennedy center,https://www.kennedy-center.org/education/opportunities-for-artists/competitions-and-commissions/vsa-playwright-discovery/,0,2022-03-10 0:00:00,,,11,18,,,,age 11-18,,,,,
National Latin Exam,American Classical League and the National Junior Classical League,www.nle.org,10,2022-03-12 0:00:00,9,12,,,,,,High school students enrolled in a Latin course,,,,,
Young Playwrights Festival National Competition,young playwrights festival,http://www.theblank.com/young-playwrights-festival/,0,2022-03-15 0:00:00,,,,19,,,,19 years old or younger,,,,,
Physics Bowl,,https://www.aapt.org/programs/physicsbowl/,5,2022-03-17 0:00:00,,,,,,,,,,,,,
National Latin Exam,the national latin exam,https://www.nle.org,5,2022-03-18 0:00:00,,,,,,,,,,,,,
NAFME Student Composers Competition,national association for music education,https://nafme.org/programs/contests-calls-competitions/,40,2022-04-09 0:00:00,,,,,,,,,,,,,
Congressional Art Competition,U.S. House of Representatives,www.house.gov,,2022-04-24 0:00:00,9,12,,,,,,All high school students,,,,,
American Invitational Mathematics Examination,Mathematical Association of America,www.maa.org,25,,,,,,,,,Score in the top 5% on the AMC Math exam,,,,,
Deca,DECA,www.deca.org,,,,,,,,,,,,,,,
Diamond Challenge for High School Entrepreneurs,University of Delaware Horn Entrepreneurship,diamondchallenge.org,,,,,14,18,,,,ages 14-18,,,,,
Future Business Leaders of America,FBLA-PBL,www.fbla-pbl.org,,,9,12,,,,,,grades 9th-12th,,,,,
Health Occupations Students of America (HOSA),HOSA-Future Health Professionals,www.hosa.org,,,9,12,,,,,,grades 9th-12th;,,,,,
International Biogenius Challenge,Biotechnology Institute,www.biotechinstitute.org,,,9,12,,,,,,grades 9th-12th; enrolled in biology or science-related course,,,,,
Knowledge @wharton Investment Competition,The Wharton School;  The University of Pennsylvania,globalyouth.wharton.upenn.edu,,,9,12,,,,,,grades 9th-12th,,,,,
Mathworks Math Modeling Challenge,Society for Industrial and Applied Mathematics,m3challenge.siam.org,0,,11,12,,,,,,grades 11th-12th,,,,,
Model Un,United Nations Foundation,unausa.org,,,9,12,,,,,,grades 9th-12th,,,,,
National Mock Trial,National High School Mock Trial Championship,www.nationalmocktrial.org,250,,9,12,,,,,,high school students,,,,,
National Science Bowl,Office of Science,science.osti.gov,,,9,12,,,,,,grades 9th-12th,,,,,
National Science Olympiad,Science Olympiad,www.soinc.org,12,,9,12,,,,,,grades 9th-12th,,,,,
National Speech and Debate,National Speech & Debate Association,www.speechanddebate.org,,,,,,,,,,Must be members of the NSDA Honor Society (with 25 points),,,,,
Physics Bowl,National Academic Quiz Tournaments,www.aapt.org,,,9,12,,,,,,Open to all high school students,,,,,
Stockholm Junior Water Prize,Stockholm Junior Water Prize,www.wef.org,,,9,12,,,,,,grades 9th-12th as long as they are age 15 by August 1 of the competition year,,,,,
The Stock Market Game,SIFMA Foundation,www.stockmarketgame.org,,,6,12,,,,,,Open to all middle and high school students; teams of 3-5,,,,,
Toshiba/NSTA Exploravision,ExploraVision,www.exploravision.org,,,10,12,,,,,,grades 10-12; groups of 2-4,,,,,
Usa Biolympiad,Center for Excellence in Education,www.usabo-trc.org,,,9,12,,,,,,grades 9th-12th,,,,,
Vex Robotics Competition,VEX Robotics,www.vexrobotics.com,,,6,12,,,,,,grades 6th-12th,,,,,
Technology Student Association High School Competition,Technology Student Association,tsaweb.org,,,9,12,,,,,,grades 9th-12th,,,,,
Usa Computing Olympiad,USA Computing Olympiad,www.usaco.org,,,9,12,,,,,,Open to all secondary school students,,,,,
The Emerson Prize,The Concord Review,tcr.org,70,,9,12,,,,,,high school students,,,,,
National High School Musical Theatre Awards,Broadway League,www.jimmyawards.com,,,9,12,,,,,,high school students,,,,,
Smithsonian Teen Portrait Competition,national portrait gallery,https://npg.si.edu/learn/teen/competition_winners,0,,,,13,17,US,,,ages 13-17; U.S. residents,,,,,
The Adroit Prizes for Poetry and Prose,The Adroit Journal,https://theadroitjournal.org/about/submissions/,9,,,,,,,,,,,,,,
Future City Competition,Future City,https://futurecity.org,25,2021-10-01 0:00:00,6,8,,,,,,grades 6th-8th,,,,,
National Robotics Challenge,EduEverything,https://www.thenrc.org/uploads/7/1/5/1/71512601/nrccontestrules2021.pdf,70,2022-02-01 0:00:00,,,,,,,,,,,,,
Best Robotics Competition,BEST Robotics Inc.,www.bestrobotics.org,0,2021-09-01 0:00:00,9,12,,,,,,high school students,,,,,
First Robotics Competition,FIRST®,https://www.firstinspires.org/robotics/frc/what-is-first-robotics-competition,3000,2021-10-01 0:00:00,,,,,,,,,,,,,
Nasa Human Exploration Rover Challenge,NASA,https://partnerships.gsfc.nasa.gov/opsparc/,-,2021-10-01 0:00:00,,,14,19,,,,ages 14-19,,,,,
Seaperch National Challenge,SeaPerch,https://seaperch.org/programs/2021-season/,10,2021-02-01 0:00:00,,,,,,,,,,,,,
Robocup,robocup,https://2021.robocup.org,100,2021-06-07 0:00:00,,,,,,,,,,,,,
First Tech Challenge,FIRST®,https://www.firstinspires.org/robotics/ftc/what-is-first-tech-challenge,275,2021-06-01 0:00:00,7,12,,,,,,grades 7th-12th,,,,,
Ecybermission,Army Education Outreach Program (AEOP),https://www.ecybermission.com/HowToCompete,,2022-01-01 0:00:00,6,9,,,US,,,grades 6th-9th; U.S. based public or private school; U.S. Citizen or permanent residents,,,,,
Future Problem Solving Program,Future Problem Solving Program International,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi53Oat2-3vAhXGc94KHU5tCrkQFjABegQIBRAD&url=http%3A%2F%2Fwww.firsttechsocal.org%2Fhow-to-register%2F&usg=AOvVaw0vZgE2aQd8WWjk2VsEFr_l,275,2022-02-01 0:00:00,4,12,,,,,,grades 4th-12th,,,,,
International High School Bridge Building Contest,Illinois Institute of Technology,http://bridgecontest.phys.iit.edu,,2022-08-01 0:00:00,,,,,,,,,,,,,
Junior Composers Awards,national federation of music clubs,https://www.nfmc-music.org/competitionscategory/junior-composers-awards/,5,,,,13,18,,,,ages 13-18,,,,,
National High School Finance Challenge,council for economic education,https://www.councilforeconed.org/national-economics-challenge/register-2/,0,,6,12,,,,,,grades 6th-12th,,,,,
International Brain Bee,international brain research organization,https://thebrainbee.org,125,,,,14,19,,,,ages 14-19,,,,,
B.e.s.t. Robot Design Contest,BEST Robotics,https://registry.bestrobotics.org,0,,,,,,,,,Student eligibility is left to each individual school,,,,,
Poetry Out Loud Drama Competition,National Endowment for the Arts,https://www.poetryoutloud.org/about-poetry-out-loud/key-dates/,0,,9,12,,,,,,grades 9th-12th are eligible,,,,,
Olympiada of Spoken Russian,American Council of Teachers of Russian,https://www.actr.org/olympiada-of-spoken-russian.html,6,,7,12,,,,,,High school and middle school students of Russian,,,,,
Quiz Bowl,National Academic Quiz Tournaments,https://www.naqt.com/about/quiz-bowl.html,0,,,,,,,,,,,,,,
Nasa Goddard Optimus Prime Spinoff Challenge,NASA,https://partnerships.gsfc.nasa.gov/opsparc/,,,,,,,,,,,,,,,
National Robotics League,National Tooling & Machining Association (NTMA),https://gonrl.org,,,,,,,,,,,,,,,
Quiz Bowl,National Academic Quiz Tournaments,www.naqt.com,,,9,12,,,,,,Open to high school-age students,,,,,
Hackvh,HackVH,https://hackvh.github.io,0,2021-04-16 0:00:00,9,12,,,,,,high school students,,,,,
Pacific Hacks 2021,Pacific hacks 2021,https://pacifichacks.org,0,2021-04-16 0:00:00,,,,,,,,,,,,,
Sonoma Hacks,sonoma hacks,https://sonomahacks.com,0,2021-04-15 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
Hackbmu,HackBMU,https://www.hackbmu.tech,0,2021-04-23 0:00:00,,,,,,,,,,,,,
Lighthouse Hacks,lighthouse hacks,https://lighthousehacks.ca,0,2021-04-25 0:00:00,9,12,,,,,,high school students,,,,,
Hackdalton 2021,hackerrank,https://www.hackerrank.com/hackdalton-2021,0,2021-04-26 0:00:00,,,,,,,,,,,,,
Hackqe,HackQE,https://hackqe.live,0,2021-05-01 0:00:00,,,,,,,,,,,,,
10pihacks,10piHacks,https://10pihacks.github.io,0,2021-05-17 0:00:00,,,,,,,,,,,,,
Hackja,HackJA,https://hackja.com/,0,2021-06-04 0:00:00,9,12,,,,,,high school student,,,,,
Hackon 2.0,HackOn 2.0,https://hackon.tech,0,2021-05-28 0:00:00,,,13,,,,,ages 13 or older,,,,,
Hack the Cloud 2.0,Hack the cloud 2.0,https://www.hackthefog.com,0,2021-07-10 0:00:00,9,12,,,,,,high school student,,,,,
